,SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
151164,NSE,E,10296,EQUITY,0,KCK,4000.0,KCK Industries,,,,5.0,,ES,ST,KCK INDUSTRIES LTD
151165,NSE,E,10297,EQUITY,0,PPL,1.0,Prakash Pipes,,,,5.0,,ES,EQ,PRAKASH PIPES LIMITED
151166,NSE,E,1030,EQUITY,0,AARON,1.0,Aaron Industries,,,,5.0,,ES,EQ,AARON INDUSTRIES LIMITED
151167,NSE,E,10300,EQUITY,0,RAMASTEEL,1.0,RAMA STEEL TUBES LIMITED,,,,5.0,,ES,EQ,RAMA STEEL TUBES LIMITED
151168,NSE,E,10311,EQUITY,0,MWL,1200.0,Mangalam Worldwide,,,,5.0,,ES,SM,MANGALAM WORLDWIDE LTD
151169,NSE,E,10314,EQUITY,0,AURUM,1.0,Aurum PropTech,,,,5.0,,ES,BE,AURUM PROPTECH LIMITED
151170,NSE,E,10321,EQUITY,0,PKTEA,1.0,Peria Karamalai Tea,,,,5.0,,ES,EQ,THE P K TEA PROD CO LTD
151171,NSE,E,10325,EQUITY,0,SKP,500.0,SKP Bearing Industries,,,,5.0,,ES,SM,SKP BEARING INDUSTRI. LTD
151180,NSE,E,10343,EQUITY,0,RADHIKAJWE,1.0,Radhika Jeweltech,,,,5.0,,ES,EQ,RADHIKA JEWELTECH LIMITED
151181,NSE,E,10346,EQUITY,0,DGCONTENT,1.0,Digicontent,,,,5.0,,ES,EQ,DIGICONTENT LIMITED
151182,NSE,E,10350,EQUITY,0,CSLFINANCE,1.0,CSL Finance,,,,5.0,,ES,EQ,CSL FINANCE LIMITED
151185,NSE,E,10366,EQUITY,0,UNIVAFOODS,1.0,Univa Foods,,,,5.0,,ES,BE,UNIVA FOODS LIMITED
151188,NSE,E,10370,EQUITY,0,MODTHREAD,1.0,MODERN THREADS INDIA LTD,,,,5.0,,ES,BE,MODERN THREADS INDIA LTD
151190,NSE,E,1038,EQUITY,0,FINCABLES,1.0,Finolex Cables,,,,5.0,,ES,EQ,FINOLEX CABLES LTD
151197,NSE,E,10397,EQUITY,0,JISLJALEQS,1.0,Jain Irrigation Systems,,,,5.0,,ES,EQ,JAIN IRRIGATION SYSTEMS
151198,NSE,E,104,EQUITY,0,SHAREINDIA,1.0,Share India Securities,,,,5.0,,ES,EQ,SHARE IND. SECURITIES LTD
151199,NSE,E,10406,EQUITY,0,STEELCITY,1.0,Steel City Securities,,,,5.0,,ES,EQ,STEEL CITY SECURITIES LTD
151200,NSE,E,1041,EQUITY,0,FINPIPE,1.0,Finolex Industries,,,,5.0,,ES,EQ,FINOLEX INDUSTRIES LTD
151201,NSE,E,10412,EQUITY,0,KSHITIJPOL,1.0,Kshitij Polyline,,,,5.0,,ES,BE,KSHITIJ POLYLINE LIMITED
151202,NSE,E,10415,EQUITY,0,MUTHOOTCAP,1.0,Muthoot Capital Services,,,,5.0,,ES,EQ,MUTHOOT CAP SERV LTD
151203,NSE,E,10417,EQUITY,0,DYCL,1.0,Dynamic Cables,,,,5.0,,ES,EQ,DYNAMIC CABLES LIMITED
151206,NSE,E,10440,EQUITY,0,LUPIN,1.0,Lupin,,,,5.0,,ES,EQ,LUPIN LIMITED
151207,NSE,E,10447,EQUITY,0,MCDOWELL-N,1.0,United Spirits,,,,5.0,,ES,EQ,UNITED SPIRITS LIMITED
151209,NSE,E,10453,EQUITY,0,SATIN,1.0,Satin Creditcare,,,,5.0,,ES,EQ,SATIN CREDIT NET LTD
151211,NSE,E,10457,EQUITY,0,ARVSMART,1.0,Arvind SmartSpaces,,,,5.0,,ES,EQ,ARVIND SMARTSPACES LTD
151220,NSE,E,10473,EQUITY,0,POWERMECH,1.0,Power Mech Projects,,,,5.0,,ES,EQ,POWER MECH PROJECTS LTD.
151226,NSE,E,10485,EQUITY,0,RAMRAT,1.0,Ram Ratna Wires,,,,5.0,,ES,EQ,RAM RATNA WIRES LIMITED
151227,NSE,E,10498,EQUITY,0,AGNI,5000.0,Agni Green Power,,,,5.0,,ES,ST,AGNI GREEN POWER LTD
151244,NSE,E,1053,EQUITY,0,UFLEX,1.0,UFLEX,,,,5.0,,ES,EQ,UFLEX LIMITED
151245,NSE,E,10530,EQUITY,0,SHARDAMOTR,1.0,Sharda Motor,,,,5.0,,ES,EQ,SHARDA MOTOR INDS LTD
151257,NSE,E,10557,EQUITY,0,NAVKARCORP,1.0,Navkar Corporation,,,,5.0,,ES,EQ,NAVKAR CORPORATION LTD.
151260,NSE,E,10568,EQUITY,0,RAMAPHO,1.0,Rama Phosphates,,,,5.0,,ES,EQ,RAMA PHOSPHATES LIMITED
151262,NSE,E,10577,EQUITY,0,KRBL,1.0,KRBL,,,,5.0,,ES,EQ,KRBL LIMITED
151263,NSE,E,10578,EQUITY,0,MPSLTD,1.0,MPS,,,,5.0,,ES,EQ,MPS LIMITED
151264,NSE,E,10579,EQUITY,0,MARKSANS,1.0,Marksans Pharma,,,,5.0,,ES,EQ,MARKSANS PHARMA LIMITED
151265,NSE,E,10580,EQUITY,0,TCI,1.0,Transport Corporation of India,,,,5.0,,ES,EQ,TRANSPORT CORPN OF INDIA
151267,NSE,E,10588,EQUITY,0,SHREEPUSHK,1.0,Shree Pushkar Chemicals,,,,5.0,,ES,EQ,SHRE PUSH CHEM & FERT LTD
151268,NSE,E,10590,EQUITY,0,LOYALTEX,1.0,Loyal Textile Mills,,,,5.0,,ES,EQ,LOYAL TEXTILE MILLS LTD
151269,NSE,E,10599,EQUITY,0,GUJGASLTD,1.0,Gujarat Gas,,,,5.0,,ES,EQ,GUJARAT GAS LIMITED
151270,NSE,E,10604,EQUITY,0,BHARTIARTL,1.0,Bharti Airtel,,,,5.0,,ES,EQ,BHARTI AIRTEL LIMITED
151271,NSE,E,10610,EQUITY,0,USASEEDS,300.0,Upsurge Seeds of Agriculture,,,,5.0,,ES,SM,UPSURGE SEEDS OF AGRI LTD
151273,NSE,E,10622,EQUITY,0,SADBHIN,1.0,Sadbhav Infrastructure Projects,,,,5.0,,ES,BE,SADBHAV INFRA PROJ LTD.
151277,NSE,E,10634,EQUITY,0,ASAL,1.0,Automotive Stampings & Assemblies,,,,5.0,,ES,EQ,AUTOMOTIVE STAMPINGS & AS
151278,NSE,E,10637,EQUITY,0,OLECTRA,1.0,Olectra Greentech,,,,5.0,,ES,EQ,OLECTRA GREENTECH LIMITED
151292,NSE,E,10661,EQUITY,0,PONNIERODE,1.0,Ponni Sugars Erode,,,,5.0,,ES,EQ,PONNIE SUGARS (ERODE) LTD
151293,NSE,E,10666,EQUITY,0,PNB,1.0,Punjab National Bank,,,,5.0,,ES,EQ,PUNJAB NATIONAL BANK
151295,NSE,E,10684,EQUITY,0,SHAIVAL,3600.0,Shaival Reality,,,,5.0,,ES,ST,SHAIVAL REALITY LIMITED
151299,NSE,E,10713,EQUITY,0,VEEKAYEM,2000.0,Veekayem Fashion & Apparels,,,,5.0,,ES,ST,VEEKAYEM FASH & APP LTD
151306,NSE,E,10726,EQUITY,0,INDIAMART,1.0,IndiaMART InterMesh,,,,5.0,,ES,EQ,INDIAMART INTERMESH LTD
151307,NSE,E,1073,EQUITY,0,FOSECOIND,1.0,Foseco,,,,5.0,,ES,EQ,FOSECO INDIA LTD
151308,NSE,E,10733,EQUITY,0,SPORTKING,1.0,Sportking,,,,5.0,,ES,EQ,SPORTKING INDIA LIMITED
151310,NSE,E,10738,EQUITY,0,OFSS,1.0,Oracle Financial Services Software,,,,5.0,,ES,EQ,ORACLE FIN SERV SOFT LTD.
151318,NSE,E,10753,EQUITY,0,UNIONBANK,1.0,Union Bank of India,,,,5.0,,ES,EQ,UNION BANK OF INDIA
151319,NSE,E,10755,EQUITY,0,APTECHT,1.0,Aptech,,,,5.0,,ES,EQ,APTECH LIMITED
151321,NSE,E,1076,EQUITY,0,ZENSARTECH,1.0,Zensar Technologies,,,,5.0,,ES,EQ,ZENSAR TECHNOLOGIES  LTD
151324,NSE,E,10768,EQUITY,0,OAL,1.0,Oriental Aromatics,,,,5.0,,ES,EQ,ORIENTAL AROMATICS LTD
151326,NSE,E,10770,EQUITY,0,AHIMSA,6000.0,Ahimsa Industries,,,,5.0,,ES,ST,AHIMSA INDUSTRIES LTD.
151332,NSE,E,10791,EQUITY,0,NUCLEUS,1.0,Nucleus Software,,,,5.0,,ES,EQ,NUCLEUS SOFTWARE EXPORTS
151333,NSE,E,10793,EQUITY,0,SYRMA,1.0,Syrma SGS,,,,5.0,,ES,EQ,SYRMA SGS TECHNOLOGY LTD
151334,NSE,E,10794,EQUITY,0,CANBK,1.0,Canara Bank,,,,5.0,,ES,EQ,CANARA BANK
151339,NSE,E,10836,EQUITY,0,SEYAIND,1.0,Seya Industries,,,,5.0,,ES,BE,SEYA INDUSTRIES LIMITED
151352,NSE,E,1085,EQUITY,0,GABRIEL,1.0,Gabriel,,,,5.0,,ES,EQ,GABRIEL INDIA LTD
151358,NSE,E,10859,EQUITY,0,DREAMFOLKS,1.0,Dreamfolks Services,,,,5.0,,ES,EQ,DREAMFOLKS SERVICES LTD
151360,NSE,E,10865,EQUITY,0,GVPTECH,1.0,GVP Infotech,,,,5.0,,ES,EQ,GVP INFOTECH LIMITED
151361,NSE,E,10871,EQUITY,0,GRMOVER,1.0,GRM Overseas,,,,5.0,,ES,EQ,GRM OVERSEAS LIMITED
151367,NSE,E,10885,EQUITY,0,JFLLIFE,2000.0,JFL Life Sciences,,,,5.0,,ES,SM,JFL LIFE SCIENCES LIMITED
151368,NSE,E,10889,EQUITY,0,KORE,500.0,Jay Jalaram Technologies,,,,5.0,,ES,SM,JAY JALARAM TECHNO LTD
151369,NSE,E,10893,EQUITY,0,DBOL,1.0,Dhampur Bio Organics,,,,5.0,,ES,EQ,DHAMPUR BIO ORGANICS LTD
151370,NSE,E,10898,EQUITY,0,AMEYA,2000.0,Ameya Precision Engineers,,,,5.0,,ES,SM,AMEYA PRECISION ENG LTD
151374,NSE,E,10905,EQUITY,0,GENESYS,1.0,Genesys International Corp,,,,5.0,,ES,EQ,GENESYS INTL CORPN LTD
151382,NSE,E,10925,EQUITY,0,GODREJIND,1.0,Godrej Industries,,,,5.0,,ES,EQ,GODREJ INDUSTRIES LTD
151385,NSE,E,10940,EQUITY,0,DIVISLAB,1.0,Divis Laboratories,,,,5.0,,ES,EQ,DIVI S LABORATORIES LTD
151386,NSE,E,10945,EQUITY,0,TMB,1.0,Tamilnad Mercantile Bank,,,,5.0,,ES,EQ,TAMILNAD MERCA BANK LTD
151387,NSE,E,10948,EQUITY,0,STCINDIA,1.0,State Trading Corporation of India,,,,5.0,,ES,EQ,THE STATE TRADING CORPN
151401,NSE,E,10970,EQUITY,0,VIVIANA,1000.0,Viviana Power Tech,,,,5.0,,ES,ST,VIVIANA POWER TECH LTD
151403,NSE,E,10980,EQUITY,0,MEGAFLEX,3000.0,Mega Flex Plastics,,,,5.0,,ES,ST,MEGA FLEX PLASTICS LTD
151405,NSE,E,10982,EQUITY,0,SABAR,5000.0,Sabar Flex,,,,5.0,,ES,SM,SABAR FLEX INDIA LIMITED
151406,NSE,E,10986,EQUITY,0,TAPIFRUIT,750.0,Tapi Fruit Processing,,,,5.0,,ES,SM,TAPI FRUIT PROCESSING LTD
151407,NSE,E,10990,EQUITY,0,RADICO,1.0,Radico Khaitan,,,,5.0,,ES,EQ,RADICO KHAITAN LTD
151408,NSE,E,10993,EQUITY,0,INDORAMA,1.0,Indo Rama Synthetics,,,,5.0,,ES,EQ,INDO RAMA SYNTHETICS LTD
151409,NSE,E,10999,EQUITY,0,MARUTI,1.0,Maruti Suzuki,,,,5.0,,ES,EQ,MARUTI SUZUKI INDIA LTD.
151410,NSE,E,1100,EQUITY,0,GARFIBRES,1.0,Garware Technical Fibres,,,,5.0,,ES,EQ,GARWARE TECH FIBRES LTD
151412,NSE,E,11013,EQUITY,0,ISHAN,48000.0,ISHAN INTERNATIONAL LTD,,,,5.0,,ES,ST,ISHAN INTERNATIONAL LTD
151413,NSE,E,11022,EQUITY,0,ABINFRA,4000.0,A B Infrabuild,,,,5.0,,ES,SM,A B INFRABUILD LIMITED
151414,NSE,E,11027,EQUITY,0,INFOBEAN,1.0,InfoBeans Technologies,,,,5.0,,ES,EQ,INFOBEANS TECHNO. LTD.
151415,NSE,E,11033,EQUITY,0,SANGINITA,1.0,Sanginita Chemicals,,,,5.0,,ES,BE,SANGINITA CHEMICALS LTD
151417,NSE,E,11039,EQUITY,0,DCMNVL,1.0,DCM Nouvelle,,,,5.0,,ES,EQ,DCM NOUVELLE LIMITED
151418,NSE,E,11045,EQUITY,0,SATIA,1.0,Satia Industries,,,,5.0,,ES,EQ,SATIA INDUSTRIES LIMITED
151419,NSE,E,11050,EQUITY,0,SIRCA,1.0,Sirca Paints,,,,5.0,,ES,EQ,SIRCA PAINT INDIA LIMITED
151420,NSE,E,11060,EQUITY,0,KSOLVES,1.0,Ksolves,,,,5.0,,ES,EQ,KSOLVES INDIA LIMITED
151421,NSE,E,11062,EQUITY,0,SECURKLOUD,1.0,SecureKloud Technologies,,,,5.0,,ES,BE,SECUREKLOUD TECH LIMITED
151422,NSE,E,11065,EQUITY,0,NATHBIOGEN,1.0,Nath Bio-Genes,,,,5.0,,ES,EQ,NATH BIO-GENES (I) LTD
151423,NSE,E,11072,EQUITY,0,AGRITECH,1.0,Agri-Tech,,,,5.0,,ES,EQ,AGRI-TECH (INDIA) LIMITED
151424,NSE,E,11079,EQUITY,0,GFSTEELS,1.0,Grand Foundry,,,,5.0,,ES,BE,GRAND FOUNDRY LTD
151425,NSE,E,11082,EQUITY,0,LIBAS,1.0,Libas Consumer,,,,5.0,,ES,EQ,LIBAS CONSU PRODUCTS LTD
151430,NSE,E,1110,EQUITY,0,DANGEE,1.0,DANGEE DUMS LIMITED,,,,5.0,,ES,EQ,DANGEE DUMS LIMITED
151431,NSE,E,11140,EQUITY,0,SUMIT,1.0,Sumit Woods,,,,5.0,,ES,EQ,SUMIT WOODS LIMITED
151432,NSE,E,11149,EQUITY,0,SHRENIK,1.0,Shrenik,,,,5.0,,ES,EQ,SHRENIK LIMITED
151434,NSE,E,11155,EQUITY,0,CREATIVE,1.0,Creative Newtech,,,,5.0,,ES,EQ,CREATIVE NEWTECH LIMITED
151438,NSE,E,11162,EQUITY,0,HARSHA,1.0,Harsha Engineers,,,,5.0,,ES,EQ,HARSHA ENGINEERS INT LTD
151439,NSE,E,11165,EQUITY,0,COFFEEDAY,1.0,Coffee Day Enterprises,,,,5.0,,ES,EQ,COFFEE DAY ENTERPRISE LTD
151440,NSE,E,11179,EQUITY,0,CLOUD,1000.0,Varanium Cloud,,,,5.0,,ES,SM,VARANIUM CLOUD LIMITED
151441,NSE,E,11184,EQUITY,0,IDFCFIRSTB,1.0,IDFC First Bank,,,,5.0,,ES,EQ,IDFC FIRST BANK LIMITED
151444,NSE,E,11195,EQUITY,0,INDIGO,1.0,Interglobe Aviation,,,,5.0,,ES,EQ,INTERGLOBE AVIATION LTD
151445,NSE,E,11198,EQUITY,0,ANNAPURNA,500.0,Annapurna Swadisht,,,,5.0,,ES,SM,ANNAPURNA SWADISHT LTD
151446,NSE,E,11208,EQUITY,0,KANDARP,4000.0,Kandarp Digi Smart BPO,,,,5.0,,ES,SM,KANDARP DG SMART BPO LTD
151447,NSE,E,11212,EQUITY,0,SHK,1.0,SH Kelkar & Company,,,,5.0,,ES,EQ,S H KELKAR AND CO. LTD.
151448,NSE,E,11214,EQUITY,0,NOIDATOLL,1.0,Noida Toll Bridge,,,,5.0,,ES,BE,NOIDA TOLL BRIDGE CO LTD
151449,NSE,E,11217,EQUITY,0,TIMESGTY,1.0,Times Guaranty,,,,5.0,,ES,BE,TIMES GUARANTY LIMITED
151450,NSE,E,11220,EQUITY,0,VARDHACRLC,1.0,Vardhaman Acrylics,,,,5.0,,ES,EQ,VARDHAMAN ACRYLICS LTD
151451,NSE,E,11222,EQUITY,0,MAKS,1500.0,Maks Energy Solutions,,,,5.0,,ES,ST,MAKS ENERGY SOL INDIA LTD
151452,NSE,E,11223,EQUITY,0,UCOBANK,1.0,UCO Bank,,,,5.0,,ES,EQ,UCO BANK
151455,NSE,E,11236,EQUITY,0,JSL,1.0,Jindal Stainless,,,,5.0,,ES,EQ,JINDAL STAINLESS LIMITED
151456,NSE,E,11239,EQUITY,0,NSIL,1.0,Nalwa Sons Investments,,,,5.0,,ES,EQ,NALWA SONS INVESTMENT LTD
151458,NSE,E,11251,EQUITY,0,PERFECT,6000.0,Perfect Infraengineers,,,,5.0,,ES,ST,PERFECT INFRAENGINEER LTD
151459,NSE,E,11253,EQUITY,0,WELSPUNLIV,1.0,Welspun Living,,,,5.0,,ES,EQ,WELSPUN LIVING LIMITED
151462,NSE,E,11262,EQUITY,0,IGL,1.0,Indraprastha Gas,,,,5.0,,ES,EQ,INDRAPRASTHA GAS LTD
151463,NSE,E,11265,EQUITY,0,TVSELECT,1.0,TVS Electronics,,,,5.0,,ES,EQ,TVS ELECTRONICS LTD
151464,NSE,E,11268,EQUITY,0,RADAAN,1.0,Radaan Mediaworks,,,,5.0,,ES,BE,RADAAN MEDIAWORKS (I) LTD
151465,NSE,E,1127,EQUITY,0,GHCL,1.0,Gujarat Heavy Chemicals,,,,5.0,,ES,EQ,GHCL LIMITED
151467,NSE,E,11274,EQUITY,0,DREDGECORP,1.0,Dredging Corporation of India,,,,5.0,,ES,BE,DREDGING CORP OF INDIA
151468,NSE,E,11275,EQUITY,0,TVTODAY,1.0,TV Today Network,,,,5.0,,ES,EQ,TV TODAY NETWORK LTD
151477,NSE,E,11287,EQUITY,0,UPL,1.0,United Phosphorus,,,,5.0,,ES,EQ,UPL LIMITED
151482,NSE,E,11293,EQUITY,0,UNIENTER,1.0,Uniphos Enterprises,,,,5.0,,ES,EQ,UNIPHOS ENTERPRISES LTD
151485,NSE,E,11297,EQUITY,0,SIL,1.0,Standard Industries,,,,5.0,,ES,EQ,STANDARD INDUSTRIES LTD.
151487,NSE,E,11301,EQUITY,0,LUXIND,1.0,Lux Industries,,,,5.0,,ES,EQ,LUX INDUSTRIES LIMITED
151488,NSE,E,11309,EQUITY,0,BALAXI,1.0,Balaxi Pharmaceuticals,,,,5.0,,ES,EQ,BALAXI PHARMA LTD
151494,NSE,E,11325,EQUITY,0,MUKANDLTD,1.0,Mukand,,,,5.0,,ES,EQ,MUKAND LTD.
151500,NSE,E,1134,EQUITY,0,APOLLO,1.0,APOLLO MICRO SYSTEMS LTD,,,,5.0,,ES,EQ,APOLLO MICRO SYSTEMS LTD
151502,NSE,E,11343,EQUITY,0,AFFLE,1.0,Affle India,,,,5.0,,ES,EQ,AFFLE (INDIA) LIMITED
151503,NSE,E,1135,EQUITY,0,GTECJAINX,1.0,G-Tec Jainx Education,,,,5.0,,ES,BE,G-TEC JAINX EDUCATION LTD
151504,NSE,E,11351,EQUITY,0,PETRONET,1.0,Petronet LNG,,,,5.0,,ES,EQ,PETRONET LNG LIMITED
151506,NSE,E,11355,EQUITY,0,PTC,1.0,PTC India,,,,5.0,,ES,EQ,PTC INDIA LIMITED
151508,NSE,E,11360,EQUITY,0,DHANBANK,1.0,Dhanlaxmi Bank,,,,5.0,,ES,BE,DHANLAXMI BANK LIMITED
151510,NSE,E,11364,EQUITY,0,VAIBHAVGBL,1.0,Vaibhav Global,,,,5.0,,ES,EQ,VAIBHAV GLOBAL LIMITED
151513,NSE,E,11369,EQUITY,0,TTKHLTCARE,1.0,TTK Healthcare,,,,5.0,,ES,EQ,TTK HEALTHCARE LIMITED
151514,NSE,E,11371,EQUITY,0,BGLOBAL,1.0,BHARATIYA GLOBAL INFO LTD,,,,5.0,,ES,BZ,BHARATIYA GLOBAL INFO LTD
151515,NSE,E,11373,EQUITY,0,BIOCON,1.0,Biocon,,,,5.0,,ES,EQ,BIOCON LIMITED.
151516,NSE,E,11377,EQUITY,0,MAHABANK,1.0,Bank of Maharashtra,,,,5.0,,ES,EQ,BANK OF MAHARASHTRA
151517,NSE,E,11378,EQUITY,0,TIPSFILMS,1.0,Tips Films,,,,5.0,,ES,BE,TIPS FILMS LIMITED
151519,NSE,E,11387,EQUITY,0,UMANGDAIRY,1.0,Umang Dairies,,,,5.0,,ES,EQ,UMANG DAIRIES LIMITED
151520,NSE,E,1139,EQUITY,0,GICHSGFIN,1.0,GIC Housing Finance,,,,5.0,,ES,EQ,GIC HOUSING FINANCE LTD
151522,NSE,E,11394,EQUITY,0,ZOTA,1.0,Zota Healthcare,,,,5.0,,ES,EQ,ZOTA HEALTH CARE LIMITED
151523,NSE,E,11399,EQUITY,0,SALZERELEC,1.0,Salzer Electronics,,,,5.0,,ES,EQ,SALZER ELECTRONICS LTD
151526,NSE,E,11403,EQUITY,0,POONAWALLA,1.0,Poonawalla Fincorp,,,,5.0,,ES,EQ,POONAWALLA FINCORP LTD
151529,NSE,E,11407,EQUITY,0,XPROINDIA,1.0,Xpro,,,,5.0,,ES,EQ,XPRO INDIA LIMITED
151532,NSE,E,11411,EQUITY,0,RKFORGE,1.0,Ramkrishna Forgings,,,,5.0,,ES,EQ,RAMKRISHNA FORGINGS LTD
151539,NSE,E,1142,EQUITY,0,GINNIFILA,1.0,Ginni Filaments,,,,5.0,,ES,EQ,GINNI FILAMENTS LTD
151540,NSE,E,11423,EQUITY,0,DATAMATICS,1.0,Datamatics Global Services,,,,5.0,,ES,EQ,DATAMATICS GLOBAL SER LTD
151542,NSE,E,11427,EQUITY,0,NDTV,1.0,NDTV,,,,5.0,,ES,EQ,NDTV LTD
151544,NSE,E,11432,EQUITY,0,KRITINUT,1.0,Kriti Nutrients,,,,5.0,,ES,EQ,KRITI NUTRIENTS LIMITED
151545,NSE,E,11435,EQUITY,0,SPANDANA,1.0,Spandana Sphoorty Financial,,,,5.0,,ES,EQ,SPANDANA SPHOORTY FIN LTD
151548,NSE,E,11445,EQUITY,0,PILANIINVS,1.0,Pilani Investment & Industries,,,,5.0,,ES,EQ,PILANI INV & IND COR LTD
151549,NSE,E,11447,EQUITY,0,CMRSL,800.0,Cyber Media Research & Services,,,,5.0,,ES,SM,CYBER MEDIA RES & SER LTD
151550,NSE,E,1145,EQUITY,0,GIPCL,1.0,Gujarat Industries Power Company,,,,5.0,,ES,EQ,GUJ IND POW CO. LTD
151551,NSE,E,11452,EQUITY,0,CCL,1.0,CCL Products,,,,5.0,,ES,EQ,CCL PRODUCTS (I) LTD
151553,NSE,E,11460,EQUITY,0,JPASSOCIAT,1.0,Jaiprakash Associates,,,,5.0,,ES,EQ,JAIPRAKASH ASSOCIATES LTD
151554,NSE,E,11467,EQUITY,0,QMSMEDI,1000.0,QMS Medical Allied Services,,,,5.0,,ES,SM,QMS MEDICAL ALLIED S LTD
151555,NSE,E,11471,EQUITY,0,EXCELINDUS,1.0,Excel Industries,,,,5.0,,ES,EQ,EXCEL INDUSTRIES LTD
151556,NSE,E,11472,EQUITY,0,LLOYDS,1000.0,Lloyds Luxuries,,,,5.0,,ES,SM,LLOYDS LUXURIES LIMITED
151557,NSE,E,11483,EQUITY,0,LT,1.0,Larsen & Toubro,,,,5.0,,ES,EQ,LARSEN & TOUBRO LTD.
151558,NSE,E,11488,EQUITY,0,KRIDHANINF,1.0,Kridhan Infra,,,,5.0,,ES,BE,KRIDHAN INFRA LIMITED
151559,NSE,E,11491,EQUITY,0,APARINDS,1.0,Apar Industries,,,,5.0,,ES,EQ,APAR INDUSTRIES LTD.
151560,NSE,E,11492,EQUITY,0,SWASTIK,1200.0,Swastik Pipe,,,,5.0,,ES,SM,SWASTIK PIPE LIMITED
151561,NSE,E,11496,EQUITY,0,AMBICAAGAR,1.0,Ambica Agarbathies,,,,5.0,,ES,EQ,AMBICA AGAR & AROMAINDLTD
151562,NSE,E,11501,EQUITY,0,FROG,400.0,Frog Cellsat,,,,5.0,,ES,SM,FROG CELLSAT LIMITED
